,year,month,day,Date,DateTime,hora_inicio,cantidad_pasos,sentido_prov,vehiculo_liv,weekday,season,hour,holiday,non_working,time_of_day
149,2017,1,7,2017-01-07,2017-01-07 05:00:00,5,994.0,0.4166666666666667,0.3333333333333333,Saturday,Summer,5,0,non-working,night
150,2017,1,7,2017-01-07,2017-01-07 06:00:00,6,1331.0,0.4666666666666667,0.26666666666666666,Saturday,Summer,6,0,non-working,night
151,2017,1,7,2017-01-07,2017-01-07 07:00:00,7,1567.0,0.42857142857142855,0.2857142857142857,Saturday,Summer,7,0,non-working,morning
152,2017,1,7,2017-01-07,2017-01-07 08:00:00,8,1818.0,0.46153846153846156,0.3076923076923077,Saturday,Summer,8,0,non-working,morning
153,2017,1,7,2017-01-07,2017-01-07 09:00:00,9,2137.0,0.42857142857142855,0.2857142857142857,Saturday,Summer,9,0,non-working,morning
154,2017,1,7,2017-01-07,2017-01-07 10:00:00,10,2301.0,0.42857142857142855,0.2857142857142857,Saturday,Summer,10,0,non-working,morning
155,2017,1,7,2017-01-07,2017-01-07 11:00:00,11,2561.0,0.42857142857142855,0.2857142857142857,Saturday,Summer,11,0,non-working,morning
156,2017,1,7,2017-01-07,2017-01-07 12:00:00,12,2705.0,0.38461538461538464,0.3076923076923077,Saturday,Summer,12,0,non-working,morning
157,2017,1,7,2017-01-07,2017-01-07 13:00:00,13,2431.0,0.38461538461538464,0.3076923076923077,Saturday,Summer,13,0,non-working,afternoon
158,2017,1,7,2017-01-07,2017-01-07 14:00:00,14,2210.0,0.42857142857142855,0.2857142857142857,Saturday,Summer,14,0,non-working,afternoon
159,2017,1,7,2017-01-07,2017-01-07 15:00:00,15,2098.0,0.4,0.26666666666666666,Saturday,Summer,15,0,non-working,afternoon
160,2017,1,7,2017-01-07,2017-01-07 16:00:00,16,1873.0,0.46153846153846156,0.3076923076923077,Saturday,Summer,16,0,non-working,evening
161,2017,1,7,2017-01-07,2017-01-07 17:00:00,17,1922.0,0.42857142857142855,0.2857142857142857,Saturday,Summer,17,0,non-working,evening
162,2017,1,7,2017-01-07,2017-01-07 18:00:00,18,1911.0,0.46153846153846156,0.3076923076923077,Saturday,Summer,18,0,non-working,evening
163,2017,1,7,2017-01-07,2017-01-07 19:00:00,19,2186.0,0.38461538461538464,0.3076923076923077,Saturday,Summer,19,0,non-working,evening
164,2017,1,7,2017-01-07,2017-01-07 20:00:00,20,2512.0,0.46153846153846156,0.3076923076923077,Saturday,Summer,20,0,non-working,evening
165,2017,1,7,2017-01-07,2017-01-07 21:00:00,21,2327.0,0.42857142857142855,0.2857142857142857,Saturday,Summer,21,0,non-working,evening
166,2017,1,7,2017-01-07,2017-01-07 22:00:00,22,1772.0,0.46153846153846156,0.3076923076923077,Saturday,Summer,22,0,non-working,night
167,2017,1,7,2017-01-07,2017-01-07 23:00:00,23,1217.0,0.36363636363636365,0.36363636363636365,Saturday,Summer,23,0,non-working,night
168,2017,1,8,2017-01-08,2017-01-08 00:00:00,0,975.0,0.4,0.4,Sunday,Summer,0,0,non-working,night
169,2017,1,8,2017-01-08,2017-01-08 01:00:00,1,1044.0,0.45454545454545453,0.36363636363636365,Sunday,Summer,1,0,non-working,night
170,2017,1,8,2017-01-08,2017-01-08 02:00:00,2,806.0,0.4,0.4,Sunday,Summer,2,0,non-working,night
171,2017,1,8,2017-01-08,2017-01-08 03:00:00,3,588.0,0.4444444444444444,0.4444444444444444,Sunday,Summer,3,0,non-working,night
172,2017,1,8,2017-01-08,2017-01-08 04:00:00,4,498.0,0.3,0.4,Sunday,Summer,4,0,non-working,night
173,2017,1,8,2017-01-08,2017-01-08 05:00:00,5,794.0,0.36363636363636365,0.36363636363636365,Sunday,Summer,5,0,non-working,night
174,2017,1,8,2017-01-08,2017-01-08 06:00:00,6,874.0,0.3333333333333333,0.4444444444444444,Sunday,Summer,6,0,non-working,night
175,2017,1,8,2017-01-08,2017-01-08 07:00:00,7,946.0,0.38461538461538464,0.3076923076923077,Sunday,Summer,7,0,non-working,morning
176,2017,1,8,2017-01-08,2017-01-08 08:00:00,8,928.0,0.36363636363636365,0.36363636363636365,Sunday,Summer,8,0,non-working,morning
